,number,progress,title,like,contents,answer,category,sday,eday,proponent
37,190038,청원종료,개 사육농장 폐쇄시켜주세요,17,"전국의 수많은 개 사육농장에서  인간들의 사욕에 처질하리만치 열악한 환경속에서 고통받고 심지어는 옆에서 도살되어 죽어가는 것을 보고 공포에 떨어야하는 불쌍한 개들이 일년에 수백만마리 씩 죽어가고있습니다.
이 나라는 사람들만의 나라가 아닌 모든 생명체가 행복하게 살아가야하는 공간이 되어야합니다.
부디, 개 농장을 폐쇄시켜주셔서 동물들도 행복한 삶을 살 수있도록 대통령님께  간절히 부탁드립니다.",,반려동물,2018-04-08,2018-05-08,naver
310,190311,청원종료,동물병원 보험만들어주세요,26,"감기걸린 고양이 병원가서 진료받고 약타고 주사맞고하니
10만원 후딱 넘었습니다
이러면 고양이나 강아지나 아파도 병원 데리고 가겠습니까?
버려지는 고양이 강아지들 갈수록 늘어납니다
정말 시급한 문제입니다 
중성화 여아들은 30만원 남아들은 20만원선입니다
아프고 병든 반려동물들 가벼운 마음으로 치료받을수있게
도와주세요
동물병원 보험제도와 동물학대 처벌강화 만들어주세요",,반려동물,2018-04-08,2018-05-08,naver
452,190453,청원종료,반려동물 입양에 대한 청원,20,"반려동물이 길거리에 버려지는 것은 tv에도 종종 나올 만큼 꽤 문제가 되고 있습니다. 당장 오늘만 해도 저는 택시를 타고 집에 가는 길에 도로에 버려져 방황하고 있는 개를 보았습니다. 이것을 목격하고 이 청원을 올려야겟다고 결심을 하게 되었습니다.키울 여력도 제대로 안되고, 애정을 갖고 그 동물을 키울 생각도 아니면서 단순히 예쁘고 귀엽다는 이유로 입양했다가 후에 늙고 병들어 동물의 외모가 마음에 들지 않거나 하는 등의 다양한 명분을 들며 버리는 사람들이 우리나라에 너무 많습니다.  우리나라에서 실제로 매년 10만여 마리가 유기된다고 합니다. 반려동물을 키울 만큼의 재정능력이 안되고 무책임한 사람들은  애초에 반려동물을 키우지 말아야 한다고 생각합니다. 이에 대한 방안으로 일본처럼 반려동물의 가격을 수백만원으로 인상시켜 재정능력이 안되는 사람들은 입양하지 못하게 하고 입양한 사람을 대상으로 그 사람이 그 동물이 나이를 먹고 죽게 될 때까지 키울 수 있는 역량이 있는지, 그리고 책임감이 있는지 심사를 하는 것입니다.",,반려동물,2018-04-08,2018-05-08,facebook
543,190544,청원종료,강아지공장에대해 귀기울여주세요,19,저는 고등학생입니다 저의 제안은 부실해도 눈물로 이글을 써내려갑니다제가방금 강아지공장에대해 영상을보았습니다 사실 몇년전부터 봐왔지만 이법은 강화되지않고있습니다 강아지공장에서는 어린개 한마리가 총 30마리의 새끼를 낳는다고합니다 또한 먹이와 물을 공급해주지도않고 전혀 관리안되는 약과 주사로 장난감처럼 개들을 막대합니다 그리고 그아이들이 처음 햇빛을 보고 바람을 처음 느끼고 처음 땅을 밟아볼때 매우 기뻐하고 뛰어다니며 웃는표정이 보였습니다 왜 그아이들은 이유없이 굶김과 감금등을 당해야하나요 우리들이 나서 그아이들을 보호해줘야한다고생각합니다 그 공장주인이 아무리 인권의 소유라고하여도 어느정도의 선이있다고 봐야합니다 그 아이들도 생명이고 감정을 느끼고있지만 말을못한다는것뿐입니다 결론은 동물법이 강화되어야합니다 동물보호단체가 강아지공장을 다녀보고 심각하다싶으면 그공장의 주인의 소유권은 강제로 없애야한다 생각합니다 그렇게 여러 생명에게 막 대하는데 그사람들의 소유 권한을 지킬이유가있을까요.. 여러분께서 동의해주시는것이 그아이들에게 힘이될겁니다 용기내어올립니다 !!,,반려동물,2018-04-08,2018-05-08,naver
559,190560,청원종료,반려동물처벌높여주세요.,49,주인이 버린 반려동물들은 유기견과 길고양이가됩니다 그렇게 버려진아이들은 교통사고로죽거나 번식이 늘어 길고양이의 수가 늘기도하죠 무심코버린 사람들의 형량을 높여주세요 그것도 일종의 학대입니다,,반려동물,2018-04-08,2018-05-08,naver
595,190596,청원종료,이 아이들은 여러분의 동의가 꼭 필요합니다,12,저는 고등학생입니다 저의 제안은 부실해도 눈물로 이글을 써내려갑니다제가방금 강아지공장에대해 영상을보았습니다 사실 몇년전부터 봐왔지만 이법은 강화되지않고있습니다 강아지공장에서는 어린개 한마리가 총 30마리의 새끼를 낳는다고합니다 또한 먹이와 물을 공급해주지도않고 전혀 관리안되는 약과 주사로 장난감처럼 개들을 막대합니다 그리고 그아이들이 처음 햇빛을 보고 바람을 처음 느끼고 처음 땅을 밟아볼때 매우 기뻐하고 뛰어다니며 웃는표정이 보였습니다 왜 그아이들은 이유없이 굶김과 감금등을 당해야하나요 우리들이 나서 그아이들을 보호해줘야한다고생각합니다 그 공장주인이 아무리 인권의 소유라고하여도 어느정도의 선이있다고 봐야합니다 그 아이들도 생명이고 감정을 느끼고있지만 말을못한다는것뿐입니다 결론은 동물법이 강화되어야합니다 동물보호단체가 강아지공장을 다녀보고 심각하다싶으면 그공장의 주인의 소유권은 강제로 없애야한다 생각합니다 그렇게 여러 생명에게 막 대하는데 그사람들의 소유 권한을 지킬이유가있을까요.. 여러분께서 동의해주시는것이 그아이들에게 힘이될겁니다 용기내어올립니다 !!,,반려동물,2018-04-08,2018-05-08,naver
717,190718,청원종료,개고기 식용금지와 관련종사자에 대한 업종전환 지원,24,"대만은 최근 개고기 식용 관련 법안을 만들어 시행함으로써, 전세계에 호응을 얻고 있습니다. 
한국이 선진국 진입에 호응하는 사회체계를 만들어가고자 한다면, 개고기 식용금지가 고려되어야 한다고 생각합니다.  
세계인들은 개를 반려동물로서 인간 사회의 일부분으로 생각하고 있지, 절대로 식용을 위한 가축으로 생각하고 있지 않습니다.  개를 먹지 않는 것은 지극히 상식적인 일로, 이를 아무렇치 않게 받아들이는 한국인을 미개한 민족으로 간주하고 있습니다. 
과거 외국에서 거주한 경험이 있는 저로서는, 한국에 대한 첫번째 이미지가 경제발전이나 오랜 역사가 아닌 ""개고기 식용국가""라는 것을 종종 느낍니다.  한국을 잘모르는 많은 일반 외국인들은 한국 음식에 개고기가 들어간 것으로 오해하고 있습니다.  원숭이 골을 파먹는 사람보다 개고기를 먹는 한국인들이 더 야만스럽다고 생각할 정도입니다.  이러한 부정적 이미지에 대해 개선을 하고자 하는 노력을 정부는 하지 않는 것으로 보입니다.  
몇몇 아시아의 개발도상국들이 개고기를 먹는 문화를 가지고 있지만,  유독 한국이 개고기 문화의 대명사로 취급되고 있습니다. 같은 개고기 식용국가였던 대만은 개고기 문화에 대한 부정인 인식이 너무 크다는 것을 인식하고, 국민을 설득시켜 개식용 금지 법률을 시행하고 있습니다.  전세계 언론은 세계화와 선진국 진입을 위한 대만의 정책을 한국의 대처와 크게 비교를 하고 있습니다.  
개고기 식용 비난은 서구인들만 하는 것이 아닙니다.
한국에 비해 훨씬 덜 발전된 남미국가와 다른 아시아 국가들 조차도, 한국의 이 미개한 문화를 비난받고 있습니다.  최근 엄청난 비용과 노력을 기울여 동계올림픽을 치루면서도, 개고기 관련 기사 하나가, 올림픽 뉴스에 함께 묻어 전세계에 퍼지면서 한국인에 대한 이미지를 오염시킨 사실을 잘 알고 있을 것입니다.  
적어도 문화관광부는 개고기에 대한 개선의지가 있을 것으로 믿고 싶습니다. 
이를 문화적인 차이로 주장하기에는 세계인들이 너무 비상식적으로 받아들이고 있는 점을 고려해야 합니다.  
개고기의 위생처리 문제가 아닙니다.  비위생적인 처리를 개선하더라도 전세계인들로부터 비난과 모욕은 나아지지 않습니다.  오히려 이는 개고기를 합법화하는 국가이며 전국민이 개고기를 즐겨먹는 국가로 더 큰 오해를  받을 수 있습니다.  근본적인 문제는 위생적인 처리가 아니라 식용 그 자체입니다.  
개고기 식용 금지는 국민들에게 설득 가능한 일이라 생각합니다.  다만 개고기를 생업으로 하고 있는 일부 사람들의 반발이 있을 것으로 판단됩니다.  이들의 반발은 타업종 전환을 위한 지원으로 설득 가능할 것으로 판단됩니다.  세계화, 선진화를 위한 이 정도의 세금지원과 의식 전환은 충분히 가치가 있을 것으로 판답됩니다. 
만일 우리도 대만처럼 개고기 식용 금지를 위한 법안이 마련된다면,  이는 전세계에 한국인들이 진정한 선진국, 문화적인 국가로 변모했다는 의식을 크게 심어줄 것입니다.
최근에 화장실에 휴지를 버리지 못하도록 하는 정책을 취한 것은, 국민 개개인의 생활이 다소 불편하더라도 선진국다운 사회와 문화를 만들기 위한 조치로서 타당하다고 생각합니다.  오랜 습관을 바꾸는 것으로서 다소 불편하더라도, 국민 대부분이 이를 찬성하고 받아들이고 있습니다.  
개고기 금지도 이처럼 충분히 가능한 일입니다.  
적어도 한국인은 개고기 먹는 이상한 사람들이라는 부정적 이미지가 전세계에 팽배하고 있다는 사실을 인식하고, 개선을 해야 한다고 생각합니다.  
개는 가축과 같은 동물일 뿐이라는 우물안 개구리식 논리로 맞대응하는 것은 매우 이기적이고 설득력이 없습니다.  우리가 세계화를 추구하고, 선진국 회원의 일부로 진입하고 싶다면, 이에 어울리는 사회문화체계를 만들어하지 않을까요?  국내에서 개고기에 대한 찬반 논리가 있지만,  개고기를 즐겨먹는 일부 한국인들 위한  긍정적인 면보다 전세계인들로부터 받는 부정적인 부분이 훨씬 크다는 사실을 반영해서, 이러한 부정적인 문화는 과감히 개선되어야 할 것입니다.  
전세계인들에게 개고기가 타당하고 문제가 되지 않는 한국 고유의 식문화라고 설득할 수 없으며 그럴 자신도 없는 것이라면, 적어도 이에 대한 공청회 개최와 여론조사를 통해서라도 고려되어야 할 것으로 판단됩니다.",,반려동물,2018-04-08,2018-05-08,naver
837,190838,청원종료,동물병원 치료비 수술비 폭탄금액,35,"울 동네 이웃이 커다란 개를 키우는데 다리가 부러져서 수술을해야하는데
1백8십백만원정도 든다고 포기한답니다
어덯게 생각하십니까
동물병원 폭탄 진료비 수술비 해결을 위한 보험이 절실히  급합니다
아파서 데리고 가야하는데 못간다는게 얼마나 슬픈일입니까
이러니 아파서 버려지는 고양이 강아지들이 엄청납니다
이런일들이 동물을 키우는 사람들의 고충입니다
하루빨리 보험이 활성화되게 해주세요
부탁드립니다",,반려동물,2018-04-08,2018-05-08,naver
1137,191138,청원종료,강아지공장에대해 귀기울여주세요!!!,33,"저는 고등학생입니다
저의 제안은 부실해도 눈물로 이글을 써내려갑니다

제가방금 강아지공장에대해 영상을보았습니다 사실 몇년전부터 봐왔지만 이법은 강화되지않고있습니다 

강아지공장에서는 어린개 한마리가 총 30마리의 새끼를 낳는다고합니다 

또한 먹이와 물을 공급해주지도않고 전혀 관리안되는 약과 주사로 장난감처럼 개들을 막대합니다 

그리고 그아이들이 처음 햇빛을 보고 바람을 처음 느끼고 처음 땅을 밟아볼때 매우 기뻐하고 뛰어다니며 웃는표정이 보였습니다 
왜 그아이들은 이유없이 굶김과 감금등을 당해야하나요 우리들이 나서 그아이들을 보호해줘야한다고생각합니다 

그 공장주인이 아무리 인권의 소유라고하여도 어느정도의 선이있다고 봐야합니다 

그 아이들도 생명이고 감정을 느끼고있지만 말을못한다는것뿐입니다 
결론은 동물법이 강화되어야합니다 
동물보호단체가 강아지공장을 다녀보고 심각하다싶으면 그공장의 주인의 소유권은 강제로 없애야한다 생각합니다
그렇게 여러 생명에게 막 대하는데 그사람들의 소유 권한을 지킬이유가있을까요..
여러분께서 동의해주시는것이 그아이들에게 힘이될겁니다 

용기내어올립니다 !!",,반려동물,2018-04-08,2018-05-08,naver
1457,191458,청원종료,동물의료수가제를 부활시켜주세요,289,"한국농촌경제연구원(KREI)이 전국 만 20~69세 성인 2천명을 대상으로 실시한 반려동물 사육현황을 조사한 결과, 올해 전국 1952가구 중 29.4%인 574만 가구가 반려동물을 기르는 것으로 나타났다고 합니다. 2027년엔 천만마리가 될 것이라고 예측하였습니다.이처럼 우리 주변에서 반려동물을 보기란 어렵지 않은 일 입니다. 지금 이 청원을 보고 계시는 여러분도 다들 반려동물을 키워본 경험이 있으실텐데요. 귀엽고 사랑스러운 가족이 더 생긴다는 게 얼마나 행복하고 마음이 따듯해지는지 아실겁니다. 매일 직장과 학교에서 돌아오면 제일 먼저 달려와 품에 달려들며 자신을 맞이해주는 반려동물을 보면 하루의 피로도 눈 녹듯 사라질테죠. 하지만 이렇게 사랑스러운 반려동물을 키우는데에는 많은 노력이 필요합니다. 사람을 키우는 것보다 더 힘이 들수도 있죠.
수많은 노력들 중 가장 큰 부담이 되는 것은 바로 '동물병원 진료비' 입니다. 가벼운 감기나 상처로 진료를 받으면 최소 3만원에서 최대 10만원을 훌쩍 뛰어넘기도 합니다. 사람은 가정에서, 직장에서, 나라에서 보장해주는 보험 덕분에 많은 의료비 절감혜택을 받을 수 있지만 현행법 상 동물은 의료비를 절감받을 수 있는 혜택이 없습니다. 그렇다면 동물병원마다 천차만별인 의료비를 평준화 할 순 없을까요? 이미 과거에 이러한 제도가 있었습니다. 제도명은 '동물의료수가제' 진료유형마다 진료비에 상한선을 두고 그 이상을 받자 못하도록 하는 제도입니다. 이 제도는 1999년에 자율 경쟁으로 진료비 부담을 낮추고 진료의 질을 높이자는 취지로 폐지 되었습니다.
앞으로 반려동물은 더 늘어날테고, 과잉진료와 어마무시한 의료비로 인해 반려동물을 키우는 서민의 부담은 더더욱 심화될 것 입니다. 문재인 대통령님의 '반려동물이 행복한 대한민국 5대 핵심 공약' 중 하나인 '자율적 표준진료제'의 도입을 촉구하길 청원합니다. 이 제도가 도입된다면 진료비 부담으로 인해 치료되지 못하거나 버려지는 반려동물을 줄일 수 있다는 생각이 듭니다. 물론 진료비가 부담된다고 하더라도 동물을 유기하는 것은 정상적인 행동이 아니지만요. 반려동물과 반려인, 동물을 사랑하고 보호하는 모든 이들을 위해 '동물 표준진료제' 도입을 촉구합니다.",,반려동물,2018-04-08,2018-05-08,naver
